University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
Macquarie University,Bachelor of Speech and Hearing Sciences,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Federation University Australia,Bachelor of Arts (Visual Arts),Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
Curtin University,Bachelor of Medical Radiation Science (Medical Imaging),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,4
University of Southern Queensland,Bachelor of Science (Applied Data Science),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Adelaide,Bachelor of Arts (History),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Griffith University,Bachelor of Criminology and Criminal Justice,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
University of Canberra,Bachelor of Arts (International Studies),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,3
University of New South Wales,Bachelor of Engineering (Honours) in Mechanical Engineering,Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,4
University of Western Australia,Bachelor of Biomedical Science (Honours),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,4
James Cook University,Bachelor of Creative Arts and Media,Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,3
Bond University,Bachelor of Global Studies,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Victoria University,Bachelor of Business (Supply Chain and Logistics Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
University of Sydney,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,4
Australian National University,Bachelor of Actuarial Studies,Bachelor,Full-time,On Campus,"Canberra, ACT",37000,3
Southern Cross University,Bachelor of Clinical Exercise Physiology,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,4
University of Wollongong,Bachelor of Creative Arts (Visual Arts),Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,3
Flinders University,Bachelor of Engineering (Civil) (Honours),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,4
Federation University Australia,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,4
CQUniversity,Bachelor of Arts (Indigenous Studies),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,3
Curtin University,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of New England,Bachelor of International and Language Studies,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Southern Queensland,Bachelor of Arts (Public Relations),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Canberra,Bachelor of Engineering (Mechanical Engineering),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,4
University of New South Wales,Bachelor of Environmental Science (Honours),Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,4
University of Western Australia,Bachelor of Arts (History),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
James Cook University,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,4
University of Queensland,Bachelor of Science (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
University of Sydney,Bachelor of Architecture and Environments,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Southern Cross University,Bachelor of Arts (Indigenous Knowledge),Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
University of Tasmania,Bachelor of Engineering (Honours),Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,4
La Trobe University,Bachelor of Commerce,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Macquarie University,Bachelor of International Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Federation University Australia,Bachelor of Business (Human Resource Management),Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
University of South Australia,Bachelor of Midwifery,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,4
Curtin University,Bachelor of Engineering (Civil),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,4
University of New England,Bachelor of Zoology,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Southern Queensland,Bachelor of Construction Management,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
Griffith University,Bachelor of Arts (Sociology),Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
University of New South Wales,Bachelor of Science in Computer Engineering,Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,4
University of Western Australia,Bachelor of Music (Composition),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Bond University,Bachelor of Sustainable Environments,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Victoria University,Bachelor of Arts in Digital Media,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Murdoch University,Bachelor of Legal Studies,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Australian National University,Bachelor of Software Engineering (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",37000,4
University of Wollongong,Bachelor of Science in Geology,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,3
Flinders University,Bachelor of Paramedic Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
Federation University Australia,Bachelor of Science (Data Science),Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
University of South Australia,Bachelor of Psychology (Honours),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,4
Curtin University,Bachelor of Design (Animation and Game Design),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Melbourne,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of New England,Bachelor of Arts (Politics and International Relations),Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Southern Queensland,Bachelor of Creative Arts (Film and Television),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Adelaide,Bachelor of International Studies,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Griffith University,Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
University of Queensland,Bachelor of Advanced Business (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
University of Western Australia,Bachelor of Science (Agricultural Science),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Canberra,Bachelor of Business (Human Resource Management),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,3
Victoria University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Murdoch University,Bachelor of Science (Biomedical Science),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Queensland,Bachelor of Health Sciences,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Sydney,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,4
Southern Cross University,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,4
University of Tasmania,Bachelor of Media and Communication,Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
La Trobe University,Bachelor of Science (Psychology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Wollongong,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,3
CQUniversity,Bachelor of Paramedic Science,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,3
University of South Australia,Bachelor of Arts (Communication and Media),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
Curtin University,Bachelor of Commerce (Economics and Finance),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Melbourne,Bachelor of Science (Computer Science),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of Southern Queensland,Bachelor of Commerce (Accounting),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Adelaide,Bachelor of Speech Pathology (Honours),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,4
Griffith University,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,4
University of Technology Sydney,Bachelor of Animation Production,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of New South Wales,"Bachelor of Politics, Philosophy, and Economics",Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,3
James Cook University,Bachelor of Education (Early Childhood),Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,4
Murdoch University,Bachelor of Sports and Exercise Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Tasmania,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
La Trobe University,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Charles Sturt University,Bachelor of Science (Environmental Science),Bachelor,Full-time,On Campus,"Bathurst, New South Wales",29000,3
University of Wollongong,Bachelor of Exercise Science,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,3
Federation University Australia,Bachelor of Social Science,Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
CQUniversity,Bachelor of Science (Data Science),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,3
University of New England,Bachelor of Sports Science,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Adelaide,Bachelor of Laws,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,4
Bond University,Bachelor of Commerce,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
University of Queensland,Bachelor of Science in Nutrition,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Canberra,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,3
University of Technology Sydney,Bachelor of Global Studies,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of New South Wales,Bachelor of Aviation (Flying),Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,3
James Cook University,Bachelor of Science (Aquaculture Science and Technology),Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,3
Bond University,Bachelor of Communication (Business),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Victoria University,Bachelor of Psychological Studies,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Murdoch University,Bachelor of Information Technology(BIT) (Games Technology),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Queensland,Bachelor of Occupational Health and Safety Science (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
Australian National University,Bachelor of Asian Studies,Bachelor,Full-time,On Campus,"Canberra, ACT",37000,3
University of Tasmania,Bachelor of Biotechnology,Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
La Trobe University,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,4
Macquarie University,Bachelor of Cyber Security (Professional),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
CQUniversity,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,3
University of South Australia,Bachelor of Journalism and Professional Writing,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
University of New England,Bachelor of Urban and Regional Planning,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Southern Queensland,Bachelor of Engineering Science (Civil),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Adelaide,Bachelor of Applied Biology,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Queensland,Bachelor of Pharmacy (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
University of Canberra,Bachelor of Design (Visual Communication),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,3
Victoria University,Bachelor of Science in Biomedicine,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Murdoch University,Bachelor of Creative Media (Game Design and Development),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Sydney,Bachelor of Commerce (Liberal Studies),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,4
La Trobe University,Bachelor of Human Resource Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Wollongong,Bachelor of Social Science,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30000,3
Macquarie University,Bachelor of Marine Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Federation University Australia,Bachelor of International Business,Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
CQUniversity,Bachelor of Accounting,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,3
University of South Australia,Bachelor of Visual Arts,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
Curtin University,Bachelor of Science (Nursing),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
