Australian College of Physical Education (ACPE),Bachelor of Health Science (Exercise and Health),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Australian College of Physical Education (ACPE),Bachelor of Education (Physical Education),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Collarts (Australian College of the Arts),Bachelor of Music,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Collarts (Australian College of the Arts),Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Ikon Institute of Australia,Bachelor of Arts (Counselling and Psychotherapy),Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
Ikon Institute of Australia,Bachelor of Arts (Arts Therapy),Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,3
International Screen Academy,Bachelor of Screen and Media,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
International Screen Academy,Bachelor of Arts (Acting),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Jansen Newman Institute,Bachelor of Applied Social Science (Counselling),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Jansen Newman Institute,Bachelor of Community Services,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
Australian Maritime College,Bachelor of Engineering (Marine and Offshore Systems),B.Eng.,Full-time,On Campus,"Launceston, Tasmania",35000,3
Australian Maritime College,Bachelor of Global Logistics and Maritime Management,Bachelor,Full-time,On Campus,"Launceston, Tasmania",34000,3
Whitehouse Institute of Design,Bachelor of Design (Fashion Design),Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
Whitehouse Institute of Design,Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
The University of Newcastle College of International Education,Bachelor of Business,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",32000,3
The University of Newcastle College of International Education,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",33000,3
Excelsia College,Bachelor of Dramatic Art,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Excelsia College,Bachelor of Music,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Melbourne Polytechnic,Bachelor of Music,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Melbourne Polytechnic,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Navitas College of Public Safety,Bachelor of Policing,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Navitas College of Public Safety,Bachelor of Criminology,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Ozford College of Business,Bachelor of Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Ozford College of Business,Bachelor of Accounting,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Perth Bible College,Bachelor of Ministry,Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
Perth Bible College,Bachelor of Theology,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Photography Studies College,Bachelor of Photography,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Photography Studies College,Bachelor of Arts (Photography),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Sydney College of Divinity,Bachelor of Theology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
Sydney College of Divinity,Bachelor of Ministry,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Eastern College Australia,Bachelor of Arts,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Eastern College Australia,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Avondale University,Bachelor of Arts,Bachelor,Full-time,On Campus,"Cooranbong, New South Wales",33000,3
Avondale University,Bachelor of Business,Bachelor,Full-time,On Campus,"Cooranbong, New South Wales",34000,3
The College of Law Australia,Bachelor of Laws,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
The College of Law Australia,Bachelor of Legal Studies,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian Institute of Higher Education,Bachelor of Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Australian Institute of Higher Education,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Universal Business School Sydney (UBSS),Bachelor of Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Universal Business School Sydney (UBSS),Bachelor of Accounting,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Institute of Health and Nursing Australia (IHNA),Bachelor of Nursing,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Institute of Health and Nursing Australia (IHNA),Bachelor of Community Services,Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
Asia Pacific International College,Bachelor of Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Asia Pacific International College,Bachelor of Information Systems,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Australian Technical and Management College (ATMC),Bachelor of Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Charles Sturt University,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Bathurst, New South Wales",32000,3
Charles Sturt University,Bachelor of Social Science (Psychology),Bachelor,Full-time,On Campus,"Bathurst, New South Wales",33000,3
CQUniversity,Bachelor of Agriculture,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",34000,3
CQUniversity,Bachelor of Digital Media,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",33000,3
University of Tasmania,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
University of Tasmania,Bachelor of Marine and Antarctic Science,B.Sc.,Full-time,On Campus,"Hobart, Tasmania",36000,3
University of Melbourne,Bachelor of Fine Arts (Theatre),Bachelor,Full-time,On Campus,"Melbourne, Victoria",40000,3
University of Melbourne,Bachelor of Oral Health,Bachelor,Full-time,On Campus,"Melbourne, Victoria",45000,3
University of Sydney,Bachelor of Arts (Art History),Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
University of Queensland,Bachelor of Science (Biomedical Science),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",37000,3
Western Sydney University,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
Western Sydney University,Bachelor of Sport Development,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Victoria University,Bachelor of Engineering (Electrical and Electronics),B.Eng.,Full-time,On Campus,"Melbourne, Victoria",35000,3
Victoria University,Bachelor of Biomedicine,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Canberra,Bachelor of Journalism,Bachelor,Full-time,On Campus,"Canberra, ACT",35000,3
University of Canberra,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
University of Newcastle,Bachelor of Creative Industries,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",34000,3
University of Newcastle,Bachelor of Biotechnology,B.Sc.,Full-time,On Campus,"Newcastle, New South Wales",35000,3
Southern Cross University,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Lismore, New South Wales",33000,3
Southern Cross University,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Lismore, New South Wales",34000,3
Australian Catholic University,Bachelor of Early Childhood Education,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Australian Catholic University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Federation University,Bachelor of Civil Engineering,B.Eng.,Full-time,On Campus,"Ballarat, Victoria",35000,3
Federation University,Bachelor of Arts (Criminal Justice),Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
Griffith University,Bachelor of Animation,Bachelor,Full-time,On Campus,"Brisbane, Queensland",37000,3
Griffith University,Bachelor of Business (Event Management),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
Bond University,Bachelor of Laws (LLB),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",45000,3
Bond University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",37000,3
Macquarie University,Bachelor of Speech and Hearing Sciences,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Macquarie University,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
RMIT University,Bachelor of Business (Logistics and Supply Chain Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
RMIT University,Bachelor of Science (Applied Science),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",35000,3
Swinburne University of Technology,Bachelor of Health Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Swinburne University of Technology,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Deakin University,Bachelor of Film and Television,Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
Deakin University,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Murdoch University,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Murdoch University,Bachelor of Arts (Journalism),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of South Australia,Bachelor of Design (Product Design),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of South Australia,Bachelor of Business (Sport and Recreation Management),Bachelor,Full-time,On Campus,"Adelaide, South Australia",34000,3
La Trobe University,Bachelor of Cybersecurity,Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
La Trobe University,Bachelor of Biomedical Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
Holmesglen Institute,Bachelor of Screen Production,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Holmesglen Institute,Bachelor of Hospitality Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Blue Mountains International Hotel Management School,Bachelor of Event Management,Bachelor,Full-time,On Campus,"Leura, New South Wales",37000,3
Blue Mountains International Hotel Management School,Bachelor of Business (Hotel Management),Bachelor,Full-time,On Campus,"Leura, New South Wales",38000,3
Torrens University,Bachelor of Design (Fashion Design),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Torrens University,Bachelor of Commerce,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Le Cordon Bleu Australia,Bachelor of Business (Food Entrepreneurship),Bachelor,Full-time,On Campus,"Adelaide, South Australia",37000,3
Le Cordon Bleu Australia,Bachelor of International Business,Bachelor,Full-time,On Campus,"Adelaide, South Australia",38000,3
Think Education,Bachelor of Health Science (Aesthetics),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Think Education,Bachelor of Social Science (Counselling),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Billy Blue College of Design,Bachelor of Branded Fashion Design,Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
Billy Blue College of Design,Bachelor of Digital Media (3D Design and Animation),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
JMC Academy,Bachelor of Creative Arts (Film and Television),Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
Kaplan Business School,Bachelor of Business (Human Resource Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Kaplan Business School,Bachelor of Business (Hospitality and Tourism Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Australian College of Physical Education (ACPE),Bachelor of Dance Education,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Australian College of Physical Education (ACPE),Bachelor of Sports Coaching (Strength and Conditioning),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Melbourne Institute of Technology (MIT),Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Whitehouse Institute of Design,Bachelor of Design (Creative Direction and Styling),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Whitehouse Institute of Design,Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Australian College of Applied Professions (ACAP),Bachelor of Psychological Science (Criminology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Australian College of Applied Professions (ACAP),Bachelor of Social Work,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Endeavour College of Natural Health,Bachelor of Health Science (Acupuncture),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Endeavour College of Natural Health,Bachelor of Health Science (Myotherapy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
JMC Academy,Bachelor of Creative Arts (Entertainment Business Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
JMC Academy,Bachelor of Audio Engineering and Sound Production,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
SAE Creative Media Institute,Bachelor of Games Development,Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",34000,3
SAE Creative Media Institute,Bachelor of Film,Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",33000,3
Billy Blue College of Design,Bachelor of Creative Technologies (Game Art),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Billy Blue College of Design,Bachelor of Digital Media (Motion Design),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Blue Mountains International Hotel Management School,Bachelor of Business (Event Management and International Hotel and Resort Management),Bachelor,Full-time,On Campus,"Leura, New South Wales",38000,3
Blue Mountains International Hotel Management School,Bachelor of Business (Hotel Management and Restaurant Management),Bachelor,Full-time,On Campus,"Leura, New South Wales",39000,3
"International College of Management, Sydney (ICMS)","Bachelor of Property (Development, Investment and Valuation)",Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
